TR_CEDAR_FIRST_000001 | Original synthetic cedar relay protocol observations.
0002 | relay=cedar_2 | phase=committed | sequence=26 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0467 | relay=cedar_8 | phase=acknowledged | sequence=6071 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0468 | relay=cedar_9 | phase=queued | sequence=6084 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0469 | relay=cedar_10 | phase=validated | sequence=6097 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0470 | relay=cedar_11 | phase=committed | sequence=6110 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0471 | relay=cedar_12 | phase=acknowledged | sequence=6123 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0472 | relay=cedar_13 | phase=queued | sequence=6136 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0473 | relay=cedar_14 | phase=validated | sequence=6149 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0474 | relay=cedar_15 | phase=committed | sequence=6162 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0475 | relay=cedar_16 | phase=acknowledged | sequence=6175 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0476 | relay=cedar_0 | phase=queued | sequence=6188 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0477 | relay=cedar_1 | phase=validated | sequence=6201 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0478 | relay=cedar_2 | phase=committed | sequence=6214 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0479 | relay=cedar_3 | phase=acknowledged | sequence=6227 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0480 | relay=cedar_4 | phase=queued | sequence=6240 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0481 | relay=cedar_5 | phase=validated | sequence=6253 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0482 | relay=cedar_6 | phase=committed | sequence=6266 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0483 | relay=cedar_7 | phase=acknowledged | sequence=6279 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0484 | relay=cedar_8 | phase=queued | sequence=6292 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0485 | relay=cedar_9 | phase=validated | sequence=6305 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0486 | relay=cedar_10 | phase=committed | sequence=6318 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0487 | relay=cedar_11 | phase=acknowledged | sequence=6331 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0488 | relay=cedar_12 | phase=queued | sequence=6344 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0489 | relay=cedar_13 | phase=validated | sequence=6357 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0490 | relay=cedar_14 | phase=committed | sequence=6370 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0491 | relay=cedar_15 | phase=acknowledged | sequence=6383 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0492 | relay=cedar_16 | phase=queued | sequence=6396 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0493 | relay=cedar_0 | phase=validated | sequence=6409 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0494 | relay=cedar_1 | phase=committed | sequence=6422 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0495 | relay=cedar_2 | phase=acknowledged | sequence=6435 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0496 | relay=cedar_3 | phase=queued | sequence=6448 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0497 | relay=cedar_4 | phase=validated | sequence=6461 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0498 | relay=cedar_5 | phase=committed | sequence=6474 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0499 | relay=cedar_6 | phase=acknowledged | sequence=6487 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0500 | relay=cedar_7 | phase=queued | sequence=6500 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0501 | relay=cedar_8 | phase=validated | sequence=6513 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0502 | relay=cedar_9 | phase=committed | sequence=6526 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0503 | relay=cedar_10 | phase=acknowledged | sequence=6539 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0504 | relay=cedar_11 | phase=queued | sequence=6552 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0505 | relay=cedar_12 | phase=validated | sequence=6565 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0506 | relay=cedar_13 | phase=committed | sequence=6578 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0507 | relay=cedar_14 | phase=acknowledged | sequence=6591 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0508 | relay=cedar_15 | phase=queued | sequence=6604 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0509 | relay=cedar_16 | phase=validated | sequence=6617 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0510 | relay=cedar_0 | phase=committed | sequence=6630 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0511 | relay=cedar_1 | phase=acknowledged | sequence=6643 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0512 | relay=cedar_2 | phase=queued | sequence=6656 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0513 | relay=cedar_3 | phase=validated | sequence=6669 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0514 | relay=cedar_4 | phase=committed | sequence=6682 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0515 | relay=cedar_5 | phase=acknowledged | sequence=6695 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0516 | relay=cedar_6 | phase=queued | sequence=6708 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0517 | relay=cedar_7 | phase=validated | sequence=6721 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0518 | relay=cedar_8 | phase=committed | sequence=6734 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0519 | relay=cedar_9 | phase=acknowledged | sequence=6747 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0520 | relay=cedar_10 | phase=queued | sequence=6760 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0521 | relay=cedar_11 | phase=validated | sequence=6773 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0522 | relay=cedar_12 | phase=committed | sequence=6786 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0523 | relay=cedar_13 | phase=acknowledged | sequence=6799 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0524 | relay=cedar_14 | phase=queued | sequence=6812 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0525 | relay=cedar_15 | phase=validated | sequence=6825 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0526 | relay=cedar_16 | phase=committed | sequence=6838 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0527 | relay=cedar_0 | phase=acknowledged | sequence=6851 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0528 | relay=cedar_1 | phase=queued | sequence=6864 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0529 | relay=cedar_2 | phase=validated | sequence=6877 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0530 | relay=cedar_3 | phase=committed | sequence=6890 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0531 | relay=cedar_4 | phase=acknowledged | sequence=6903 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0532 | relay=cedar_5 | phase=queued | sequence=6916 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0533 | relay=cedar_6 | phase=validated | sequence=6929 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0534 | relay=cedar_7 | phase=committed | sequence=6942 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0535 | relay=cedar_8 | phase=acknowledged | sequence=6955 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0536 | relay=cedar_9 | phase=queued | sequence=6968 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0537 | relay=cedar_10 | phase=validated | sequence=6981 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0538 | relay=cedar_11 | phase=committed | sequence=6994 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0539 | relay=cedar_12 | phase=acknowledged | sequence=7007 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0540 | relay=cedar_13 | phase=queued | sequence=7020 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0541 | relay=cedar_14 | phase=validated | sequence=7033 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0542 | relay=cedar_15 | phase=committed | sequence=7046 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0543 | relay=cedar_16 | phase=acknowledged | sequence=7059 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0544 | relay=cedar_0 | phase=queued | sequence=7072 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0545 | relay=cedar_1 | phase=validated | sequence=7085 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0546 | relay=cedar_2 | phase=committed | sequence=7098 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0547 | relay=cedar_3 | phase=acknowledged | sequence=7111 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0548 | relay=cedar_4 | phase=queued | sequence=7124 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0549 | relay=cedar_5 | phase=validated | sequence=7137 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0550 | relay=cedar_6 | phase=committed | sequence=7150 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0551 | relay=cedar_7 | phase=acknowledged | sequence=7163 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0552 | relay=cedar_8 | phase=queued | sequence=7176 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0553 | relay=cedar_9 | phase=validated | sequence=7189 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0554 | relay=cedar_10 | phase=committed | sequence=7202 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0555 | relay=cedar_11 | phase=acknowledged | sequence=7215 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0556 | relay=cedar_12 | phase=queued | sequence=7228 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0557 | relay=cedar_13 | phase=validated | sequence=7241 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0558 | relay=cedar_14 | phase=committed | sequence=7254 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0559 | relay=cedar_15 | phase=acknowledged | sequence=7267 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0560 | relay=cedar_16 | phase=queued | sequence=7280 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0561 | relay=cedar_0 | phase=validated | sequence=7293 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0562 | relay=cedar_1 | phase=committed | sequence=7306 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0563 | relay=cedar_2 | phase=acknowledged | sequence=7319 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0564 | relay=cedar_3 | phase=queued | sequence=7332 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0565 | relay=cedar_4 | phase=validated | sequence=7345 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0566 | relay=cedar_5 | phase=committed | sequence=7358 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0567 | relay=cedar_6 | phase=acknowledged | sequence=7371 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0568 | relay=cedar_7 | phase=queued | sequence=7384 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0569 | relay=cedar_8 | phase=validated | sequence=7397 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0570 | relay=cedar_9 | phase=committed | sequence=7410 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0571 | relay=cedar_10 | phase=acknowledged | sequence=7423 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0572 | relay=cedar_11 | phase=queued | sequence=7436 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0573 | relay=cedar_12 | phase=validated | sequence=7449 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0574 | relay=cedar_13 | phase=committed | sequence=7462 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0575 | relay=cedar_14 | phase=acknowledged | sequence=7475 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0576 | relay=cedar_15 | phase=queued | sequence=7488 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0577 | relay=cedar_16 | phase=validated | sequence=7501 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0578 | relay=cedar_0 | phase=committed | sequence=7514 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0579 | relay=cedar_1 | phase=acknowledged | sequence=7527 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0580 | relay=cedar_2 | phase=queued | sequence=7540 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0581 | relay=cedar_3 | phase=validated | sequence=7553 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0582 | relay=cedar_4 | phase=committed | sequence=7566 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0583 | relay=cedar_5 | phase=acknowledged | sequence=7579 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0584 | relay=cedar_6 | phase=queued | sequence=7592 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0585 | relay=cedar_7 | phase=validated | sequence=7605 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0586 | relay=cedar_8 | phase=committed | sequence=7618 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0587 | relay=cedar_9 | phase=acknowledged | sequence=7631 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0588 | relay=cedar_10 | phase=queued | sequence=7644 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0589 | relay=cedar_11 | phase=validated | sequence=7657 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0590 | relay=cedar_12 | phase=committed | sequence=7670 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0591 | relay=cedar_13 | phase=acknowledged | sequence=7683 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0592 | relay=cedar_14 | phase=queued | sequence=7696 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0593 | relay=cedar_15 | phase=validated | sequence=7709 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0594 | relay=cedar_16 | phase=committed | sequence=7722 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0595 | relay=cedar_0 | phase=acknowledged | sequence=7735 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0596 | relay=cedar_1 | phase=queued | sequence=7748 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0597 | relay=cedar_2 | phase=validated | sequence=7761 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0598 | relay=cedar_3 | phase=committed | sequence=7774 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0599 | relay=cedar_4 | phase=acknowledged | sequence=7787 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0600 | relay=cedar_5 | phase=queued | sequence=7800 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0601 | relay=cedar_6 | phase=validated | sequence=7813 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0602 | relay=cedar_7 | phase=committed | sequence=7826 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0603 | relay=cedar_8 | phase=acknowledged | sequence=7839 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0604 | relay=cedar_9 | phase=queued | sequence=7852 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0605 | relay=cedar_10 | phase=validated | sequence=7865 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0606 | relay=cedar_11 | phase=committed | sequence=7878 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0607 | relay=cedar_12 | phase=acknowledged | sequence=7891 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0608 | relay=cedar_13 | phase=queued | sequence=7904 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0609 | relay=cedar_14 | phase=validated | sequence=7917 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0610 | relay=cedar_15 | phase=committed | sequence=7930 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0611 | relay=cedar_16 | phase=acknowledged | sequence=7943 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0612 | relay=cedar_0 | phase=queued | sequence=7956 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0613 | relay=cedar_1 | phase=validated | sequence=7969 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0614 | relay=cedar_2 | phase=committed | sequence=7982 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0615 | relay=cedar_3 | phase=acknowledged | sequence=7995 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0616 | relay=cedar_4 | phase=queued | sequence=8008 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0617 | relay=cedar_5 | phase=validated | sequence=8021 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0618 | relay=cedar_6 | phase=committed | sequence=8034 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0619 | relay=cedar_7 | phase=acknowledged | sequence=8047 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0620 | relay=cedar_8 | phase=queued | sequence=8060 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0621 | relay=cedar_9 | phase=validated | sequence=8073 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0622 | relay=cedar_10 | phase=committed | sequence=8086 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0623 | relay=cedar_11 | phase=acknowledged | sequence=8099 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0624 | relay=cedar_12 | phase=queued | sequence=8112 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0625 | relay=cedar_13 | phase=validated | sequence=8125 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0626 | relay=cedar_14 | phase=committed | sequence=8138 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0627 | relay=cedar_15 | phase=acknowledged | sequence=8151 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0628 | relay=cedar_16 | phase=queued | sequence=8164 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0629 | relay=cedar_0 | phase=validated | sequence=8177 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0630 | relay=cedar_1 | phase=committed | sequence=8190 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0631 | relay=cedar_2 | phase=acknowledged | sequence=8203 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0632 | relay=cedar_3 | phase=queued | sequence=8216 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0633 | relay=cedar_4 | phase=validated | sequence=8229 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0634 | relay=cedar_5 | phase=committed | sequence=8242 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0635 | relay=cedar_6 | phase=acknowledged | sequence=8255 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0636 | relay=cedar_7 | phase=queued | sequence=8268 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0637 | relay=cedar_8 | phase=validated | sequence=8281 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0638 | relay=cedar_9 | phase=committed | sequence=8294 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0639 | relay=cedar_10 | phase=acknowledged | sequence=8307 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0640 | relay=cedar_11 | phase=queued | sequence=8320 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0641 | relay=cedar_12 | phase=validated | sequence=8333 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0642 | relay=cedar_13 | phase=committed | sequence=8346 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0643 | relay=cedar_14 | phase=acknowledged | sequence=8359 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0644 | relay=cedar_15 | phase=queued | sequence=8372 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0645 | relay=cedar_16 | phase=validated | sequence=8385 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0646 | relay=cedar_0 | phase=committed | sequence=8398 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0647 | relay=cedar_1 | phase=acknowledged | sequence=8411 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0648 | relay=cedar_2 | phase=queued | sequence=8424 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0649 | relay=cedar_3 | phase=validated | sequence=8437 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0650 | relay=cedar_4 | phase=committed | sequence=8450 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0651 | relay=cedar_5 | phase=acknowledged | sequence=8463 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0652 | relay=cedar_6 | phase=queued | sequence=8476 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0653 | relay=cedar_7 | phase=validated | sequence=8489 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0654 | relay=cedar_8 | phase=committed | sequence=8502 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0655 | relay=cedar_9 | phase=acknowledged | sequence=8515 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0656 | relay=cedar_10 | phase=queued | sequence=8528 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0657 | relay=cedar_11 | phase=validated | sequence=8541 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0658 | relay=cedar_12 | phase=committed | sequence=8554 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0659 | relay=cedar_13 | phase=acknowledged | sequence=8567 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0660 | relay=cedar_14 | phase=queued | sequence=8580 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0661 | relay=cedar_15 | phase=validated | sequence=8593 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0662 | relay=cedar_16 | phase=committed | sequence=8606 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0663 | relay=cedar_0 | phase=acknowledged | sequence=8619 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0664 | relay=cedar_1 | phase=queued | sequence=8632 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0665 | relay=cedar_2 | phase=validated | sequence=8645 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0666 | relay=cedar_3 | phase=committed | sequence=8658 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0667 | relay=cedar_4 | phase=acknowledged | sequence=8671 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0668 | relay=cedar_5 | phase=queued | sequence=8684 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0669 | relay=cedar_6 | phase=validated | sequence=8697 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0670 | relay=cedar_7 | phase=committed | sequence=8710 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0671 | relay=cedar_8 | phase=acknowledged | sequence=8723 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0672 | relay=cedar_9 | phase=queued | sequence=8736 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0673 | relay=cedar_10 | phase=validated | sequence=8749 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0674 | relay=cedar_11 | phase=committed | sequence=8762 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0675 | relay=cedar_12 | phase=acknowledged | sequence=8775 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0676 | relay=cedar_13 | phase=queued | sequence=8788 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0677 | relay=cedar_14 | phase=validated | sequence=8801 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0678 | relay=cedar_15 | phase=committed | sequence=8814 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0679 | relay=cedar_16 | phase=acknowledged | sequence=8827 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0680 | relay=cedar_0 | phase=queued | sequence=8840 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0681 | relay=cedar_1 | phase=validated | sequence=8853 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0682 | relay=cedar_2 | phase=committed | sequence=8866 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0683 | relay=cedar_3 | phase=acknowledged | sequence=8879 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0684 | relay=cedar_4 | phase=queued | sequence=8892 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0685 | relay=cedar_5 | phase=validated | sequence=8905 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0686 | relay=cedar_6 | phase=committed | sequence=8918 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0687 | relay=cedar_7 | phase=acknowledged | sequence=8931 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0688 | relay=cedar_8 | phase=queued | sequence=8944 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0689 | relay=cedar_9 | phase=validated | sequence=8957 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0690 | relay=cedar_10 | phase=committed | sequence=8970 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0691 | relay=cedar_11 | phase=acknowledged | sequence=8983 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0692 | relay=cedar_12 | phase=queued | sequence=8996 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0693 | relay=cedar_13 | phase=validated | sequence=9009 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0694 | relay=cedar_14 | phase=committed | sequence=9022 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0695 | relay=cedar_15 | phase=acknowledged | sequence=9035 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0696 | relay=cedar_16 | phase=queued | sequence=9048 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0697 | relay=cedar_0 | phase=validated | sequence=9061 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0698 | relay=cedar_1 | phase=committed | sequence=9074 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
